Name,Height,Elevation,Master Story,Similar To,Splice Story,Color,GUID
STORY37,12.8,174,No,None,No,Cyan,130b9dc8-0fac-4f01-9085-415099c1f166
STORY36,4.2,161.2,No,None,No,Magenta,d1a21687-e2cc-4685-948e-5b1df23c3e4f
STORY35,4.2,157,No,None,No,Gray8Dark,9b944ac9-ae27-4382-a023-ef64fbe4cb07
STORY34,4.2,152.8,No,None,No,Green,8c8a2f87-6743-4194-a14a-0e8a278ed2f9
STORY33,4.2,148.6,No,None,No,Red,83763067-53f1-4548-b7c2-c3181d747250
STORY32,4.2,144.4,No,None,No,Yellow,a983e37f-1540-4362-ac86-83866db33f51
STORY31,4.2,140.2,No,None,No,Blue,b8e59d9f-8e7c-4faa-9d22-337808ca7eba
STORY30,4.2,136,No,None,No,Cyan,0d814069-68cc-4e82-8c0f-4d0146561635
STORY29,4.2,131.8,No,None,No,Magenta,0347e98a-e402-437a-9984-8b1723cd798c
STORY28,4.2,127.6,No,None,No,Gray8Dark,a60d4f0c-eca5-4f71-afb4-ebf74223db43
STORY27,4.2,123.4,No,None,No,Green,f54f3c01-48c2-48dc-910c-3039cdb1faf2
STORY26,4.2,119.2,No,None,No,Red,d7d3e9dd-0b34-4824-9062-f95531e5cf1a
STORY25,4.2,115,No,None,No,Yellow,e169163f-ea0f-48b9-94e1-4178ec349d30
STORY24,4.2,110.8,No,None,No,Blue,1119bbe2-6970-42bf-a678-e2aac4e7d7bc
STORY23,4.2,106.6,No,None,No,Cyan,401205df-cf7d-4b50-9b3b-aeaa1169a2b8
STORY22,4.2,102.4,No,None,No,Magenta,134bac05-60e1-444e-b6cf-cd07d73e760a
STORY21,4.2,98.2,No,None,No,Gray8Dark,a413e99c-2068-4152-b866-25ab0ce14d9d
STORY20,4.2,94,No,None,No,Green,7a40c5b1-7b81-4618-815b-1eb5412606a1
STORY19,4.2,89.8,No,None,No,Red,c2d00f9c-d89e-465b-beb5-dad9f48d4218
STORY18,4.2,85.6,No,None,No,Yellow,0d4f3b64-c463-4fb9-89c9-3b3bed3e5e2e
STORY17,4.2,81.4,No,None,No,Blue,b9ad83ab-08fb-4c1c-8548-c09a99ab53ae
STORY16,4.2,77.2,No,None,No,Cyan,b5821460-0ba5-42e3-864c-f4a4f61e13c4
STORY15,4.2,73,No,None,No,Magenta,119357d0-ce50-4181-b5b1-22aa3dbddf9e
STORY14,4.2,68.8,No,None,No,Gray8Dark,a238eda4-5e61-4d84-b846-ef61e93747df
STORY13,4.2,64.6,No,None,No,Green,d7c5ef3e-b17b-4f6a-99c9-10dfeeee171e
STORY12,4.2,60.4,No,None,No,Red,d3fefbc6-ab4b-439d-b371-77aa86e18869
STORY11,4.2,56.2,No,None,No,Yellow,a7cc54cd-d793-4eb6-b25c-f298d342cd38
STORY10,4.2,52,No,None,No,Blue,d921d6ad-42e0-4c5b-a703-042031366c00
STORY9,4.2,47.8,No,None,No,Cyan,4b9b9f71-5188-4a20-a2c2-3e2965491a2d
STORY8,4.2,43.6,No,None,No,Magenta,972032d1-fa9a-4c92-9d0e-280a6a26bb33
STORY7,4.2,39.4,No,None,No,Gray8Dark,ba326058-962c-4fd5-9c8d-5fa4405cc357
STORY6,4.2,35.2,No,None,No,Green,af380523-88b9-4ab2-801b-42cab508b026
STORY5,4.2,31,No,None,No,Red,3d65c896-a8b1-4f12-a570-511132c4d6d2
STORY4,4.2,26.8,No,None,No,Yellow,aaca9a20-95f3-4e07-ad1b-a5aef8dadee4
STORY3,4.2,22.6,No,None,No,Blue,1508d72f-8b41-480a-9cd0-4663b4493aa3
STORY2,4.2,18.4,No,None,No,Cyan,98aef319-ecc1-415a-97e1-7c636661798d
STORY1,4.2,14.2,No,None,No,Magenta,69f8e343-582a-4e52-8b0a-5b82eb423f3b
L00,4.2,10,No,None,No,Gray8Dark,44191339-dca0-43f6-b648-b5ef643ed52c
B01,5.8,5.8,No,None,No,Green,2e24a618-e835-4ebd-a10c-55ce0f4d60bf
